"Kenora Motel","https://www.cheapflights.ca/hotels/Kenora-Motel,Windsor-p63083-h563391-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 889","8.3","Very good"
"Super 8 by Wyndham Ambassador Bridge Windsor ON","https://www.cheapflights.ca/hotels/Super-8-by-Wyndham-Ambassador-Bridge-Windsor-ON,Windsor-p63083-h23993-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 901","7.2","Good"
"Travelodge by Wyndham Windsor","https://www.cheapflights.ca/hotels/Travelodge-by-Wyndham-Windsor,Windsor-p63083-h3655602-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 1,143","6.0","Okay"
"Motel 6 Windsor On","https://www.cheapflights.ca/hotels/Motel-6-Windsor-On,Windsor-p63083-h17006-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 884","6.8","Okay"
"Sandwich Boutique Hotel","https://www.cheapflights.ca/hotels/Sandwich-Boutique-Hotel,Windsor-p63083-h9087026-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 1,829","9.1","Wonderful"
"Quality Inn & Suites","https://www.cheapflights.ca/hotels/Quality-Inn--Suites,Windsor-p63083-h2560143-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 1,624","7.6","Good"
"Ivy Rose Motor Inn","https://www.cheapflights.ca/hotels/Ivy-Rose-Motor-Inn,Windsor-p63083-h91612-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 764","3.3","Poor"
"Hampton Inn & Suites by Hilton Windsor","https://www.cheapflights.ca/hotels/Hampton-Inn--Suites-by-Hilton-Windsor,Windsor-p63083-h47944-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 2,253","7.7","Good"
"Ye Olde Walkerville Bed & Breakfast","https://www.cheapflights.ca/hotels/Ye-Olde-Walkerville-Bed--Breakfast,Windsor-p63083-h354661-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 1,183","9.2","Wonderful"
"Albert Housing","https://www.cheapflights.ca/hotels/Albert-Housing,Windsor-p63083-h9559897-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 715","7.2","Good"
"Lexington Inn & Suites Windsor","https://www.cheapflights.ca/hotels/Lexington-Inn--Suites-Windsor,Windsor-p63083-h47943-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 4,692","6.5","Okay"
"Hotel/Home","https://www.cheapflights.ca/hotels/HotelHome,Windsor-p63083-h9744822-details/2024-05-01/2024-05-05/2rooms/4adults?psid=jvDEMQJZ79&pm=totaltaxes#overview","C$ 3,227","9.3","Wonderful"
